URL,Summary,Company
https://www.fastcompany.com/90962556/google-bard-and-assistant-are-finally-joining-forces,. .,Google
https://www.technologyreview.com/2023/03/21/1070111/google-bard-chatgpt-openai-microsoft-bing-search/,"Google just launched Bard, its answer to ChatGPT—and it wants you to make it betterUnder pressure from its rivals, Google is updating the way we look for information by introducing a sidekick to its search",Google
https://www.nytimes.com/2023/03/21/technology/google-bard-chatbot.html,. .,Google
https://m.economictimes.com/news/how-to/google-bard-everything-you-should-know-about-chatgtp-rival-what-it-can-do-what-it-cant/articleshow/98898462.cms,"Bard is based on a large language model, or LLM, that learns by analyzing vast amounts of data from the internet . When asked why it had cited Wikipedia, the bot insisted that it had quoted Wikipedia",Google
https://www.reuters.com/technology/google-begins-opening-access-its-chatgpt-competitor-bard-2023-03-21/,. .,Google
https://techmonitor.ai/technology/ai-and-automation/bard-google-chatgpt-generative-ai-chatbot,"Google reveals generative AI chatbot to take on ChatGPTReceive our newsletter - data, insights and analysis delivered to youSearchSearchTech MonitorFebruary 7, 2023updated 09 Mar 2023 9:47amGoogle takes",Google
https://aimagazine.com/articles/google-bards-ambition-to-reach-millions-of-users,The competitive future of AIAs with any industry is becoming increasingly competitive . The AI space is becoming more competitive in competition .,Google
https://www.cbinsights.com/company/inflection-ai,. .,Inflection
https://golden.com/wiki/Inflection-REWDWKX,. .,Inflection
https://quantumzeitgeist.com/inflection-ai-raises-1-3bn-to-build-worlds-largest-ai-cluster-with-microsoft-nvidia-to-pioneer-personal-ai/,"Inflection AI is an ‘AI Studio’ based in Palo Alto, CA, specialising in creating personal AIs . In partnership with CoreWeave and NVIDIA, the company is building the world’s",Inflection
https://www.toolify.ai/ai-news/inflection-ai-a-new-openai-rival-with-13b-funding-977182,. .,Inflection
https://inflection.ai/frontier-safety,This page is periodically reviewed and updated as our thinking on safety and understanding of the risks continues to evolve .Our next milestone is the publication of a more in-depth technical safety paper which will followreview the performance of the Inf,Inflection
https://www.businesswire.com/news/home/20230629810313/en/Inflection-AI-Announces-1.3-Billion-of-Funding-Led-by-Current-Investors-Microsoft-and-NVIDIA,"Inflection AI is helping to lead this groundbreaking work, deploying NVIDIA AI technology to develop, train and deploy massive generative AI models that enable amazing personal digital assistants .",Inflection
https://www.lennysnewsletter.com/p/growth-inflections,. .,Inflection
https://medium.com/@matthewmonahan/celebrating-inflection-e123d9f3e44,. .,Inflection
https://a16z.com/using-inflection-points-to-overcome-fintech-startup-distribution-challenges/,. .,Inflection
https://inflection.ai/inflection-1,"Inflection-1 is the best model in its compute class, outperforming GPT-3.5, LLaMA, Chinchilla, and PaLM-540Bon a wide range of benchmarks commonly used for comparing",Inflection
https://www.inflection.io/post/unveiling-inflection-marketing-automation,. .,Inflection
https://analyticsindiamag.com/inflection-ai-raises-1-3-bn-from-microsoft-nvidia-bill-gates-and-others/,"Startups on Funding SpreeInvestors have poured billions of dollars into this year, mostly on companies specialising in generative AI . With this funding, Runway has now raised a total of $237 million ",Inflection
https://www.ai21.com/blog/announcing-amazon-partnership,"AI21 Labs is one of a select few Large Language model providers partnering with Amazon on this.Customers often struggle with the implementation of foundation models, which can be a long and arduous process as it often requires extensive",AI21 Labs
https://www.ai21.com/blog/introducing-j2,J2 is the next generation of our foundation models with significant improvements in quality and new capabilities .Task-specific APIsprovide developers with industry-leading APIs that perform specialized reading and writing tasks out-of-the,AI21 Labs
https://www.prnewswire.com/news-releases/ai21-labs-raises-155-million-to-bring-reliable-ai-to-the-enterprise-301914275.html,AI21 Labs is a leader in generative AI and large language models (LLMs) The company's total capital raised to$283 million at a valuation of$1.4 billion . The new funding brings AI21,AI21 Labs
https://siliconangle.com/2023/03/09/ai21-labs-debuts-jurassic-2-advanced-large-language-model-generative-ai-applications/,"AI21 Labs debuts Jurassic-2, an advanced large language model for text-based generative AIbySHAREGenerative artificial intelligence research labis releasing what it claims is a world’s most customizable large language",AI21 Labs
https://aws.amazon.com/marketplace/pp/prodview-f4y5ksmu5kccy,. .,AI21 Labs
https://www.ai21.com/blog/human-or-not-results,Social Turing game allows participants to talk for two minutes with either an AI bot or a fellow participant . Many of the common strategies were based on the perceived limitations of language models that people encountered while using ChatGPT and similar interface,AI21 Labs
https://cloud.google.com/customers/ai21,. .,AI21 Labs
https://www.cbinsights.com/company/ai21-labs,. .,AI21 Labs
https://www.techtarget.com/searchenterpriseai/news/365532313/Startups-latest-large-language-model-rivals-GPT-3,"AI21 Labs has introduced a new version of its large language model . The model is the successor to Jurassic-1, which was trained on 178 billion parameters, 3 billion parameters more than GPT-3 .AI21",AI21 Labs
https://www.prnewswire.com/news-releases/ai21-labs-introduces-jurassic-2-the-worlds-most-advanced-language-model-301767781.html,Jurassic-2 is the world's most advanced language model . AI21 Labs is also releasing five new APIs for commercial use . The startup is aiming to fundamentally change the way people read and write using ,AI21 Labs
https://www.ai21.com/blog/ai21-studio-use-cases,. .,AI21 Labs
https://aws.amazon.com/marketplace/pp/prodview-ivk4wjg6gbr26,. .,AI21 Labs
https://cohere.com/partners,"PartnersCohere offers best-in-class data security, performance, and flexible hosting thanks to our partners.Product, cloud, and distribution partnerOracle delivers a comprehensive AI portfolio integrated in its cloud applications on a best",Cohere
https://cohere.com/customer-stories/liveperson,"LivePerson provides a uniquely rich data set and safety tools to unlock the power of generative AI powered by large language models (LLMs) customers can interact with automated systems in a way that feels natural, dynamic, and human",Cohere
https://www.linkedin.com/posts/sudip-roy-81a23b15_mckinsey-and-cohere-collaborate-to-transform-activity-7087120568524673024-ScG6?trk=public_profile_like_view,"McKinsey and Cohere collaborate to transform clients with enterprise...Agree & Join LinkedInBy clicking Continue, you agree to LinkedIn’s, and.Sudip Roy’s PostDirector of Engineering",Cohere
https://aws.amazon.com/marketplace/pp/prodview-r6zvppobprqmy,. .,Cohere
https://coheretechnology.com/,. .,Cohere
https://analyticsindiamag.com/cohere-and-accenture-partner-to-advance-enterprise-ai-solutions/,Cohere and Accenture Partner to Advance Enterprise AI SolutionsMenuSearchSearchClose this search box .Cohere will be working closely with Accenture to offer its clients AI-tailored solutions to meet specific business needs,Cohere
https://cohere.com/terms-of-use,. .,Cohere
https://medium.com/@multiplatform.ai/cohere-unveils-custom-data-connectors-for-enhanced-command-llm-7c1210458e09,. .,Cohere
https://aws.amazon.com/marketplace/pp/prodview-n44fbeuycwldi,. .,Cohere
https://www.oracle.com/artificial-intelligence/cohere-aidan-gomez-interview/,AI pioneer discusses the intersection of LLMs and the enterpriseProductsIndustriesResourcesCustomersPartnersDevelopersCompanyClose SearchSearch Oracle.comQUICK LINKSSearchView Accounts,Cohere
https://www.linkedin.com/posts/samantha-shulman-16b352187_cohere-brings-its-enterprise-ai-offering-activity-7090017870503448576-stx0?trk=public_profile_share_view,"I am so grateful for the opportunity to be a part of such an inspiring and supportive team at, and look forward to diving deeper into exciting projects throughout the summer!ShareCopyLinkedInFacebookTwitterTo view or",Cohere
https://www.theinformation.com/briefings/microsoft-to-sell-ai-from-cohere-as-business-moves-beyond-openai,. .,Cohere
https://www.anthropic.com/news/claude-2,"Claude 2 has improved performance, longer responses, and can be accessed via API as well as a new public-facing beta website . The API for businesses is being offered for the same price as Claude 1.3 . ",Anthropic
https://www.anthropic.com/news/introducing-claude,"Claude feels more conversational than ChatGPT, says a happy Poe user . ""I personally love the way the answers are presented and how in-depth, yet simply presented they are,"" says one user who was impressed by",Anthropic
https://analyticsindiamag.com/anthropic-and-bcgs-partnership-in-ai-will-foster-new-models-in-nlps/,BCG has partnered with OpenAI to establish the Center for Responsible Generative AI within BCG X .BCG has also collaborated with Intel to bring generative AI into enterprise .His customized corporate training program on,Anthropic
https://en.wikipedia.org/wiki/Anthropic,"Claude 2 was launched in July 2023, and initially was available only in the US and the UK .In the same month, research conducted by Patronus AI compared performance of OpenAI'sand GPT-4-Tur",Anthropic
https://www.linkedin.com/posts/anthropicresearch_supported-countries-and-regions-claudeai-activity-7119791031360897024-kIP3,"Combining ChatGPT with Claude results in a significant boost in efficiency, as one complements the gaps of the other . For the vast majority of workloads, Sonnet is 2x faster than Claude 2 and Claude",Anthropic
https://zapier.com/blog/claude-ai/,"Claude 2 is a powerful, flexible AI chatbot powered by Anthropic's LLM, Claude 2. The company's main goal is to avoid these issues by creating a ""helpful, harmless, and honest""",Anthropic
https://www.telecoms.com/digital-ecosystem/amazon-favours-anthropic-s-claude-ai-after-acquiring-major-stake,. .,Anthropic
https://technologymagazine.com/articles/google-invests-in-openai-rival-anthropic-as-ai-race-heats-up,"Google invests in OpenAI rival Anthropic as AI race heats upBy October 30, 2023undefined minsGoogle invested US$300m in anthropic in April 2023, taking a 10% stakeGoogle has ",Anthropic
https://lablab.ai/tech/anthropic/claude,"Claude 2 has demonstrated aptitude in coding, math, and reasoning, scoring 76.5% on the multiple choice section of the Bar exam . The API for businesses is being offered at the same price as Claude 1.3 .",Anthropic
https://www.anthropic.com/news/anthropic-bcg,Anthropic and BCG have already partnered to help organizations understand the force-multiplying impact of generative AI .We aim to set a new standard for responsible enterprise AI and promote a safety race to the top,Anthropic
https://venturebeat.com/ai/anthropic-brings-claude-ai-to-more-countries-but-still-no-canada-for-now/,. .,Anthropic
https://www.marketingaiinstitute.com/blog/the-marketing-ai-show-episode-55-ai-powered-content-strategy-claude-2-from-anthropic-and-major-google-bard-updates,"Claude 2 from Anthropic just announced the release of Claude 2, its new foundational AI model . This episode is brought to you by Jasper, the generative AI platform that is transforming marketing content creation for teams and businesses",Anthropic
https://ai.google/static/documents/palm2techreport.pdf,w3s' sA @ L K O jam  LlM  Fi#[G ?,Google
https://cloud.google.com/partners/ai,"generative AI requires an open ecosystem of partners to deliver a breadth of customer solutions . Our trusted community of partners can help you move from experimentation, to acceleration, to scale .Infrastructure and platform partnersEasily",Google
https://blog.google/technology/ai/google-palm-2-ai-large-language-model/,"PaLM 2 is a state-of-the-art language model with improved multilingual, reasoning and coding capabilities . This means that it excels at popular programming languages like Python and JavaScript, but can also generate specialized",Google
https://cloud.google.com/blog/topics/healthcare-life-sciences/sharing-google-med-palm-2-medical-large-language-model,"Med-PaLM 2's impressive performance on medical exam-style questions is a promising development, but we need to learn how this can be harnessed to benefit healthcare workers, researchers, administrators, and patients . Google Cloud",Google
https://www.prnewswire.com/news-releases/the-estee-lauder-companies-inc-and-google-cloud-partner-to-transform-the-online-consumer-experience-with-generative-ai-301912131.html,"Google Cloud and The Estée Lauder Companies announced an expansion of their strategic partnership to pioneer new uses of generative AI across brands . ELC is also using PaLM 2, Google's large language model (LLM) to understand consumer",Google
